algorithm,input_type,size,time_ns,max_recursion_depth,comparisons,swaps,recursive_calls
MergeSort,Random,100,51400,4,665,0,15
QuickSort,Random,100,252600,4,673,296,68
MergeSort,Sorted,100,8500,4,99,0,15
QuickSort,Sorted,100,92800,3,725,102,65
MergeSort,Reverse-sorted,100,48200,4,731,0,15
QuickSort,Reverse-sorted,100,64900,4,626,412,66
MergeSort,Duplicate-heavy,100,32600,4,568,0,15
QuickSort,Duplicate-heavy,100,112300,3,801,242,90
MergeSort,Random,1000,544600,7,10360,0,127
QuickSort,Random,1000,201200,6,10590,5253,669
MergeSort,Sorted,1000,83200,7,999,0,127
QuickSort,Sorted,1000,110200,6,10289,1008,671
MergeSort,Reverse-sorted,1000,274700,7,10363,0,127
QuickSort,Reverse-sorted,1000,97100,7,10399,4890,659
MergeSort,Duplicate-heavy,1000,53600,7,9803,0,127
QuickSort,Duplicate-heavy,1000,224500,3,56807,2897,990
MergeSort,Random,10000,904000,11,128182,0,2047
QuickSort,Random,10000,1152500,9,157952,85132,6626
MergeSort,Sorted,10000,51000,11,9999,0,2047
QuickSort,Sorted,10000,304200,8,153082,10030,6668
MergeSort,Reverse-sorted,10000,839400,11,94671,0,2047
QuickSort,Reverse-sorted,10000,379100,9,151385,62138,6661
MergeSort,Duplicate-heavy,10000,1824900,11,122374,0,2047
QuickSort,Duplicate-heavy,10000,3105600,3,5034854,27851,9990
MergeSort,Random,50000,11597100,13,774236,0,8191
QuickSort,Random,50000,3410200,9,929191,474833,33330
MergeSort,Sorted,50000,186900,13,49999,0,8191
QuickSort,Sorted,50000,1659400,10,978914,49880,33326
MergeSort,Reverse-sorted,50000,1928400,13,583503,0,8191
QuickSort,Reverse-sorted,50000,1878900,10,943856,345254,33338
MergeSort,Duplicate-heavy,50000,3152000,13,737705,0,8191
QuickSort,Duplicate-heavy,50000,97359600,3,125139383,140067,49990
MergeSort,Random,100000,6950100,14,1647972,0,16383
QuickSort,Random,100000,7373300,11,1954720,981546,66715
MergeSort,Sorted,100000,257100,14,99999,0,16383
QuickSort,Sorted,100000,2996400,11,2085856,99810,66633
MergeSort,Reverse-sorted,100000,2417600,14,1217007,0,16383
QuickSort,Reverse-sorted,100000,4054900,11,1959610,818590,66729
MergeSort,Duplicate-heavy,100000,3728300,14,1570641,0,16383
QuickSort,Duplicate-heavy,100000,378573800,3,500359734,340048,99990
DeterministicSelect,Random,100,105900,6,875,280,23
DeterministicSelect,Sorted,100,43600,7,683,263,22
DeterministicSelect,Reverse-sorted,100,46300,6,797,257,20
DeterministicSelect,Duplicate-heavy,100,26900,1,394,120,3
DeterministicSelect,Random,1000,522900,11,9397,3288,96
DeterministicSelect,Sorted,1000,157400,10,6994,2943,75
DeterministicSelect,Reverse-sorted,1000,163600,10,9374,3183,81
DeterministicSelect,Duplicate-heavy,1000,80900,1,3743,1206,5
DeterministicSelect,Random,10000,801400,14,99360,34947,375
DeterministicSelect,Sorted,10000,2158300,13,72669,31100,286
DeterministicSelect,Reverse-sorted,10000,3502000,12,100126,34821,395
DeterministicSelect,Duplicate-heavy,10000,1893500,4,72458,21097,31
DeterministicSelect,Random,50000,2570800,14,502200,177520,1078
DeterministicSelect,Sorted,50000,1455700,13,384522,163677,808
DeterministicSelect,Reverse-sorted,50000,1592700,16,505168,177068,1044
DeterministicSelect,Duplicate-heavy,50000,791800,1,186122,61107,7
DeterministicSelect,Random,100000,3031500,17,1015850,362721,1670
DeterministicSelect,Sorted,100000,1415700,15,739053,317431,1083
DeterministicSelect,Reverse-sorted,100000,1806200,17,1021595,358848,1697
DeterministicSelect,Duplicate-heavy,100000,1950500,3,626504,193758,22
ClosestPair,Random,100,5811700,7,100,0,71
ClosestPair,Duplicate-heavy,100,417400,7,97,0,71
ClosestPair,Random,1000,2464900,10,559,0,975
ClosestPair,Duplicate-heavy,1000,2671700,10,541,0,975
ClosestPair,Random,10000,15008700,13,7735,0,8191
ClosestPair,Duplicate-heavy,10000,11713800,13,7713,0,8191
ClosestPair,Random,50000,79402300,16,48332,0,34463
ClosestPair,Duplicate-heavy,50000,106323000,16,48308,0,34463
